File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\clsTenureChange.cs,286,206,155,27,72,0,8,90,0,0
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\clsUserCreation.cs,426,426,34,0,0,0,0,0,0,0
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\clsUserRegister.cs,355,355,26,0,0,0,0,0,0,0
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\clsVadiVibhajan.cs,255,204,84,7,16,2,35,305,0,0
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\clsVapratBadal.cs,259,166,125,20,80,0,13,189,0,0
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\ClsVarsInformation.cs,1115,1115,87,0,0,0,0,0,0,0
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\clsWaras - Copy.cs,378,298,198,46,60,6,20,225,0,0
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\clsWaras.cs,520,391,259,64,81,9,48,726,5,62
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\Copy of InnerMaster.master.cs,183,183,30,0,0,0,0,0,0,0
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\DBHandler.cs,539,441,276,50,49,0,49,350,0,0
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\objCertify.cs,274,249,125,20,25,0,0,0,0,0
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\Properties\AssemblyInfo.cs,36,15,3,0,5,0,16,118,0,0
